date,start_time_uk,value
2020-01-03,10:00:00,42.98
2020-01-04,10:00:00,35.24
2020-01-05,10:00:00,39.0
2020-01-06,10:00:00,37.18
2020-01-07,10:00:00,41.29
2020-01-08,10:00:00,38.03
2020-01-09,10:00:00,34.98
2020-01-10,10:00:00,44.2
2020-01-11,10:00:00,33.04
2020-01-12,10:00:00,40.2
2020-01-13,10:00:00,39.15
2020-01-14,10:00:00,35.22
2020-01-15,10:00:00,41.39
2020-01-16,10:00:00,37.17
2020-01-17,10:00:00,40.5
2020-01-18,10:00:00,37.05
2020-01-19,10:00:00,37.7
2020-01-20,10:00:00,40.04
2020-01-21,10:00:00,46.0
2020-01-22,10:00:00,50.25
2020-01-23,10:00:00,49.93
2020-01-24,10:00:00,50.85
2020-01-25,10:00:00,38.79
2020-01-26,10:00:00,35.62
2020-01-27,10:00:00,35.51
2020-01-28,10:00:00,38.48
2020-01-29,10:00:00,37.0
2020-01-30,10:00:00,42.1
2020-01-31,10:00:00,39.9
2020-02-01,10:00:00,33.7
2020-02-02,10:00:00,43.1
2020-02-03,10:00:00,28.61
2020-02-04,10:00:00,30.03
2020-02-05,10:00:00,35.03
2020-02-06,10:00:00,38.04
2020-02-07,10:00:00,33.52
2020-02-08,10:00:00,40.4
2020-02-09,10:00:00,38.22
2020-02-10,10:00:00,31.01
2020-02-11,10:00:00,33.2
2020-02-12,10:00:00,28.71
2020-02-13,10:00:00,33.15
2020-02-14,10:00:00,32.79
2020-02-15,10:00:00,36.0
2020-02-16,10:00:00,35.5
2020-02-17,10:00:00,34.0
2020-02-18,10:00:00,32.0
2020-02-19,10:00:00,39.32
2020-02-20,10:00:00,33.34
2020-02-21,10:00:00,33.0
2020-02-22,10:00:00,36.1
2020-02-23,10:00:00,42.0
2020-02-24,10:00:00,39.06
2020-02-25,10:00:00,32.0
2020-02-26,10:00:00,30.8
2020-02-27,10:00:00,35.8
2020-02-28,10:00:00,38.3
2020-02-29,10:00:00,43.0
2020-03-01,10:00:00,29.5
2020-03-02,10:00:00,32.78
2020-03-03,10:00:00,32.43
2020-03-04,10:00:00,46.7
2020-03-05,10:00:00,46.2
2020-03-06,10:00:00,33.01
2020-03-07,10:00:00,40.39
2020-03-08,10:00:00,27.37
2020-03-09,10:00:00,34.32
2020-03-10,10:00:00,36.0
2020-03-11,10:00:00,27.98
2020-03-12,10:00:00,28.45
2020-03-13,10:00:00,34.0
2020-03-14,10:00:00,42.0
2020-03-15,10:00:00,39.0
2020-03-16,10:00:00,29.43
2020-03-17,10:00:00,32.0
2020-03-18,10:00:00,32.6
2020-03-19,10:00:00,44.6
2020-03-20,10:00:00,32.0
2020-03-21,10:00:00,26.0
2020-03-22,10:00:00,34.0
2020-03-23,10:00:00,29.75
2020-03-24,10:00:00,26.23
2020-03-25,10:00:00,28.0
2020-03-26,10:00:00,28.03
2020-03-27,10:00:00,29.0
2020-03-28,10:00:00,19.83
2020-03-29,10:00:00,15.6
2020-03-30,10:00:00,30.62
2020-03-31,10:00:00,25.91
2020-04-01,10:00:00,26.75
2020-04-02,10:00:00,28.5
2020-04-03,10:00:00,28.8
2020-04-04,10:00:00,33.03
2020-04-05,10:00:00,1.93
2020-04-06,10:00:00,22.0
2020-04-07,10:00:00,26.27
2020-04-08,10:00:00,31.7
2020-04-09,10:00:00,28.0
2020-04-10,10:00:00,31.0
2020-04-11,10:00:00,32.05
2020-04-12,10:00:00,36.9
2020-04-13,10:00:00,14.7
2020-04-14,10:00:00,31.3
2020-04-15,10:00:00,28.0
2020-04-16,10:00:00,26.0
2020-04-17,10:00:00,26.0
2020-04-18,10:00:00,29.96
2020-04-19,10:00:00,25.0
2020-04-20,10:00:00,6.15
2020-04-21,10:00:00,0.0
2020-04-22,10:00:00,23.0
2020-04-23,10:00:00,24.42
2020-04-24,10:00:00,27.17
2020-04-25,10:00:00,27.98
2020-04-26,10:00:00,26.7
2020-04-27,10:00:00,25.0
2020-04-28,10:00:00,25.15
2020-04-29,10:00:00,29.0
2020-04-30,10:00:00,23.5
2020-05-01,10:00:00,26.37
2020-05-02,10:00:00,27.23
2020-05-03,10:00:00,26.72
2020-05-04,10:00:00,31.9
2020-05-05,10:00:00,23.02
2020-05-06,10:00:00,25.0
2020-05-07,10:00:00,26.1
2020-05-08,10:00:00,29.99
2020-05-09,10:00:00,34.0
2020-05-10,10:00:00,10.61
2020-05-11,10:00:00,18.98
2020-05-12,10:00:00,27.0
2020-05-13,10:00:00,24.95
2020-05-14,10:00:00,25.2
2020-05-15,10:00:00,27.16
2020-05-16,10:00:00,24.97
2020-05-17,10:00:00,25.0
2020-05-18,10:00:00,15.37
2020-05-19,10:00:00,28.0
2020-05-20,10:00:00,25.0
2020-05-21,10:00:00,28.0
2020-05-22,10:00:00,11.06
2020-05-23,10:00:00,-2.1
2020-05-24,10:00:00,-0.01
2020-05-25,10:00:00,18.78
2020-05-26,10:00:00,28.0
2020-05-27,10:00:00,29.1
2020-05-28,10:00:00,26.22
2020-05-29,10:00:00,26.86
2020-05-30,10:00:00,26.0
2020-05-31,10:00:00,25.98
2020-06-01,10:00:00,27.9
2020-06-02,10:00:00,24.0
2020-06-03,10:00:00,25.6
2020-06-04,10:00:00,29.17
2020-06-05,10:00:00,26.0
2020-06-06,10:00:00,2.24
2020-06-07,10:00:00,30.4
2020-06-08,10:00:00,31.82
2020-06-09,10:00:00,33.05
2020-06-10,10:00:00,32.34
2020-06-11,10:00:00,30.96
2020-06-12,10:00:00,31.0
2020-06-13,10:00:00,30.64
2020-06-14,10:00:00,33.5
2020-06-15,10:00:00,31.33
2020-06-16,10:00:00,34.08
2020-06-17,10:00:00,33.63
2020-06-18,10:00:00,33.83
2020-06-19,10:00:00,30.9
2020-06-20,10:00:00,37.0
2020-06-21,10:00:00,15.8
2020-06-22,10:00:00,29.54
2020-06-23,10:00:00,27.37
2020-06-24,10:00:00,31.8
