"DAYSAHEAD","TARGETDATE","FORECASTDEMAND","CARDINALPOINT","CP_TYPE","CP_ST_TIME","CP_END_TIME","F_Point","FORECAST_TIMESTAMP"
1,"2018-01-06T00:00:00Z",37100,"4B","F",2100,2100,"","2018-01-05T08:35:49Z"
1,"2018-01-06T00:00:00Z",28710,"4C","F",2400,2400,"","2018-01-05T08:35:49Z"
1,"2018-01-07T00:00:00Z",29170,"1F","F",30,30,"","2018-01-06T08:20:24Z"
1,"2018-01-07T00:00:00Z",29340,"1A","P",100,230,"","2018-01-06T08:20:24Z"
1,"2018-01-07T00:00:00Z",27470,"03","F",300,300,"","2018-01-06T08:20:24Z"
1,"2018-01-07T00:00:00Z",25370,"1B","T",430,730,"Om","2018-01-06T08:20:24Z"
1,"2018-01-07T00:00:00Z",32010,"2F","P",800,900,"","2018-01-06T08:20:24Z"
1,"2018-01-07T00:00:00Z",35860,"2A","P",930,1030,"","2018-01-06T08:20:24Z"
1,"2018-01-07T00:00:00Z",36890,"2B","P",1100,1300,"DM","2018-01-06T08:20:24Z"
1,"2018-01-07T00:00:00Z",37080,"3B","T",1330,1630,"Dm","2018-01-06T08:20:24Z"
1,"2018-01-07T00:00:00Z",45600,"DP","P",1700,1930,"EM","2018-01-06T08:20:24Z"
1,"2018-01-07T00:00:00Z",39090,"4B","F",2100,2100,"","2018-01-06T08:20:24Z"
1,"2018-01-07T00:00:00Z",28390,"4C","F",2400,2400,"","2018-01-06T08:20:24Z"
1,"2018-01-08T00:00:00Z",27470,"1F","F",30,30,"","2018-01-07T07:54:14Z"
1,"2018-01-08T00:00:00Z",28200,"1A","P",100,230,"","2018-01-07T07:54:14Z"
1,"2018-01-08T00:00:00Z",27580,"03","F",300,300,"","2018-01-07T07:54:14Z"
1,"2018-01-08T00:00:00Z",26030,"1B","T",430,730,"Om","2018-01-07T07:54:14Z"
1,"2018-01-08T00:00:00Z",42320,"2F","P",800,900,"","2018-01-07T07:54:14Z"
1,"2018-01-08T00:00:00Z",43760,"2A","P",930,1030,"","2018-01-07T07:54:14Z"
1,"2018-01-08T00:00:00Z",44490,"2B","P",1100,1300,"DM","2018-01-07T07:54:14Z"
1,"2018-01-08T00:00:00Z",43920,"3B","T",1330,1630,"Dm","2018-01-07T07:54:14Z"
1,"2018-01-08T00:00:00Z",49380,"DP","P",1700,1930,"EM","2018-01-07T07:54:14Z"
1,"2018-01-08T00:00:00Z",42460,"4B","F",2100,2100,"","2018-01-07T07:54:14Z"
1,"2018-01-08T00:00:00Z",29520,"4C","F",2400,2400,"","2018-01-07T07:54:14Z"
1,"2018-01-09T00:00:00Z",28240,"1F","F",30,30,"","2018-01-08T08:41:46Z"
1,"2018-01-09T00:00:00Z",28780,"1A","P",100,230,"","2018-01-08T08:41:46Z"
1,"2018-01-09T00:00:00Z",28190,"03","F",300,300,"","2018-01-08T08:41:46Z"
1,"2018-01-09T00:00:00Z",26970,"1B","T",430,730,"Om","2018-01-08T08:41:46Z"
1,"2018-01-09T00:00:00Z",42570,"2F","P",800,900,"","2018-01-08T08:41:46Z"
1,"2018-01-09T00:00:00Z",44170,"2A","P",930,1030,"","2018-01-08T08:41:46Z"
1,"2018-01-09T00:00:00Z",45160,"2B","P",1100,1300,"DM","2018-01-08T08:41:46Z"
1,"2018-01-09T00:00:00Z",44330,"3B","T",1330,1630,"Dm","2018-01-08T08:41:46Z"
1,"2018-01-09T00:00:00Z",49320,"DP","P",1700,1930,"EM","2018-01-08T08:41:46Z"
1,"2018-01-09T00:00:00Z",42150,"4B","F",2100,2100,"","2018-01-08T08:41:46Z"
1,"2018-01-09T00:00:00Z",29570,"4C","F",2400,2400,"","2018-01-08T08:41:46Z"
1,"2018-01-10T00:00:00Z",29120,"1F","F",30,30,"","2018-01-09T08:42:26Z"
1,"2018-01-10T00:00:00Z",29660,"1A","P",100,230,"","2018-01-09T08:42:26Z"
1,"2018-01-10T00:00:00Z",28050,"03","F",300,300,"","2018-01-09T08:42:26Z"
1,"2018-01-10T00:00:00Z",27330,"1B","T",430,730,"Om","2018-01-09T08:42:26Z"
1,"2018-01-10T00:00:00Z",42960,"2F","P",800,900,"","2018-01-09T08:42:26Z"
1,"2018-01-10T00:00:00Z",43930,"2A","P",930,1030,"DM","2018-01-09T08:42:26Z"
1,"2018-01-10T00:00:00Z",43250,"2B","P",1100,1300,"","2018-01-09T08:42:26Z"
1,"2018-01-10T00:00:00Z",42560,"3B","T",1330,1630,"Dm","2018-01-09T08:42:26Z"
1,"2018-01-10T00:00:00Z",50060,"DP","P",1700,1930,"EM","2018-01-09T08:42:26Z"
1,"2018-01-10T00:00:00Z",42650,"4B","F",2100,2100,"","2018-01-09T08:42:26Z"
1,"2018-01-10T00:00:00Z",30560,"4C","F",2400,2400,"","2018-01-09T08:42:26Z"
1,"2018-01-11T00:00:00Z",30360,"1F","F",30,30,"","2018-01-10T08:44:37Z"
1,"2018-01-11T00:00:00Z",30720,"1A","P",100,230,"","2018-01-10T08:44:37Z"
1,"2018-01-11T00:00:00Z",29100,"03","F",300,300,"","2018-01-10T08:44:37Z"
1,"2018-01-11T00:00:00Z",28000,"1B","T",430,730,"Om","2018-01-10T08:44:37Z"
1,"2018-01-11T00:00:00Z",43600,"2F","P",800,900,"","2018-01-10T08:44:37Z"
1,"2018-01-11T00:00:00Z",44500,"2A","P",930,1030,"DM","2018-01-10T08:44:37Z"
1,"2018-01-11T00:00:00Z",44410,"2B","P",1100,1300,"","2018-01-10T08:44:37Z"
1,"2018-01-11T00:00:00Z",44140,"3B","T",1330,1630,"Dm","2018-01-10T08:44:37Z"
1,"2018-01-11T00:00:00Z",50210,"DP","P",1700,1930,"EM","2018-01-10T08:44:37Z"
1,"2018-01-11T00:00:00Z",43180,"4B","F",2100,2100,"","2018-01-10T08:44:37Z"
1,"2018-01-11T00:00:00Z",31160,"4C","F",2400,2400,"","2018-01-10T08:44:37Z"
1,"2018-01-12T00:00:00Z",30170,"1F","F",30,30,"","2018-01-11T08:28:42Z"
1,"2018-01-12T00:00:00Z",30850,"1A","P",100,230,"","2018-01-11T08:28:42Z"
1,"2018-01-12T00:00:00Z",29110,"03","F",300,300,"","2018-01-11T08:28:42Z"
1,"2018-01-12T00:00:00Z",27910,"1B","T",430,730,"Om","2018-01-11T08:28:42Z"
1,"2018-01-12T00:00:00Z",42740,"2F","P",800,900,"","2018-01-11T08:28:42Z"
1,"2018-01-12T00:00:00Z",43350,"2A","P",930,1030,"DM","2018-01-11T08:28:42Z"
1,"2018-01-12T00:00:00Z",43280,"2B","P",1100,1300,"","2018-01-11T08:28:42Z"
1,"2018-01-12T00:00:00Z",41740,"3B","T",1330,1630,"Dm","2018-01-11T08:28:42Z"
1,"2018-01-12T00:00:00Z",46540,"DP","P",1700,1930,"EM","2018-01-11T08:28:42Z"
1,"2018-01-12T00:00:00Z",39000,"4B","F",2100,2100,"","2018-01-11T08:28:42Z"
1,"2018-01-12T00:00:00Z",28800,"4C","F",2400,2400,"","2018-01-11T08:28:42Z"
1,"2018-01-13T00:00:00Z",28870,"1F","F",30,30,"","2018-01-12T08:29:05Z"
1,"2018-01-13T00:00:00Z",29280,"1A","P",100,230,"","2018-01-12T08:29:05Z"
1,"2018-01-13T00:00:00Z",27100,"03","F",300,300,"","2018-01-12T08:29:05Z"
1,"2018-01-13T00:00:00Z",24970,"1B","T",430,730,"Om","2018-01-12T08:29:05Z"
1,"2018-01-13T00:00:00Z",33560,"2F","P",800,900,"","2018-01-12T08:29:05Z"
1,"2018-01-13T00:00:00Z",36430,"2A","P",930,1030,"","2018-01-12T08:29:05Z"
1,"2018-01-13T00:00:00Z",36750,"2B","P",1100,1300,"DM","2018-01-12T08:29:05Z"
1,"2018-01-13T00:00:00Z",36460,"3B","T",1330,1630,"Dm","2018-01-12T08:29:05Z"
1,"2018-01-13T00:00:00Z",42040,"DP","P",1700,1930,"EM","2018-01-12T08:29:05Z"
1,"2018-01-13T00:00:00Z",35880,"4B","F",2100,2100,"","2018-01-12T08:29:05Z"
1,"2018-01-13T00:00:00Z",28080,"4C","F",2400,2400,"","2018-01-12T08:29:05Z"
1,"2018-01-14T00:00:00Z",27770,"1F","F",30,30,"","2018-01-13T08:43:20Z"
1,"2018-01-14T00:00:00Z",28190,"1A","P",100,230,"","2018-01-13T08:43:20Z"
1,"2018-01-14T00:00:00Z",26090,"03","F",300,300,"","2018-01-13T08:43:20Z"
1,"2018-01-14T00:00:00Z",24730,"1B","T",430,730,"Om","2018-01-13T08:43:20Z"
1,"2018-01-14T00:00:00Z",30250,"2F","P",800,900,"","2018-01-13T08:43:20Z"
1,"2018-01-14T00:00:00Z",34630,"2A","P",930,1030,"","2018-01-13T08:43:20Z"
1,"2018-01-14T00:00:00Z",36510,"2B","P",1100,1300,"DM","2018-01-13T08:43:20Z"
