"DAYSAHEAD","TARGETDATE","FORECASTDEMAND","CARDINALPOINT","CP_TYPE","CP_ST_TIME","CP_END_TIME","F_Point","FORECAST_TIMESTAMP"
1,"2018-06-04T00:00:00Z",31260,"2A","P",930,1030,"DM","2018-06-03T08:40:21Z"
1,"2018-06-04T00:00:00Z",31000,"2B","P",1100,1300,"","2018-06-03T08:40:21Z"
1,"2018-06-04T00:00:00Z",29630,"3B","T",1330,1630,"Dm","2018-06-03T08:40:21Z"
1,"2018-06-04T00:00:00Z",33400,"3C","P",1700,1930,"EM","2018-06-03T08:40:21Z"
1,"2018-06-04T00:00:00Z",31680,"4A","T",2000,2100,"","2018-06-03T08:40:21Z"
1,"2018-06-04T00:00:00Z",31600,"4B","P",2130,2230,"","2018-06-03T08:40:21Z"
1,"2018-06-04T00:00:00Z",24360,"4C","F",2400,2400,"","2018-06-03T08:40:21Z"
1,"2018-06-05T00:00:00Z",22510,"1F","F",30,30,"","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",21550,"1S","T",100,130,"","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",21430,"1A","P",200,230,"","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",19900,"04","F",400,400,"","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",19630,"1B","T",430,730,"Om","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",31810,"2F","P",800,900,"","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",31830,"2A","P",930,1030,"DM","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",30870,"2B","P",1100,1300,"","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",29070,"3B","T",1330,1630,"Dm","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",33580,"3C","P",1700,1930,"EM","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",31790,"4A","T",2000,2100,"","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",31900,"4B","P",2130,2230,"","2018-06-04T08:43:32Z"
1,"2018-06-05T00:00:00Z",25080,"4C","F",2400,2400,"","2018-06-04T08:43:32Z"
1,"2018-06-06T00:00:00Z",22960,"1F","F",30,30,"","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",22000,"1S","T",100,130,"","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",21970,"1A","P",200,230,"","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",21010,"04","F",400,400,"","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",20630,"1B","T",430,730,"Om","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",31340,"2F","P",800,900,"DM","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",31070,"2A","P",930,1030,"","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",30230,"2B","P",1100,1300,"","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",28470,"3B","T",1330,1630,"Dm","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",33000,"3C","P",1700,1930,"EM","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",32120,"4A","T",2000,2100,"","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",31870,"4B","P",2130,2230,"","2018-06-05T08:40:43Z"
1,"2018-06-06T00:00:00Z",24890,"4C","F",2400,2400,"","2018-06-05T08:40:43Z"
1,"2018-06-07T00:00:00Z",23180,"1F","F",30,30,"","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",22170,"1S","T",100,130,"","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",21870,"1A","P",200,230,"","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",20830,"04","F",400,400,"","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",20570,"1B","T",430,730,"Om","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",31340,"2F","P",800,900,"DM","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",31090,"2A","P",930,1030,"","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",30050,"2B","P",1100,1300,"","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",28720,"3B","T",1330,1630,"Dm","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",32860,"3C","P",1700,1930,"EM","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",31830,"4A","T",2000,2100,"","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",31650,"4B","P",2130,2230,"","2018-06-06T08:46:37Z"
1,"2018-06-07T00:00:00Z",25010,"4C","F",2400,2400,"","2018-06-06T08:46:37Z"
1,"2018-06-08T00:00:00Z",23350,"1F","F",30,30,"","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",22000,"1S","T",100,130,"","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",21730,"1A","P",200,230,"","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",20600,"04","F",400,400,"","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",20100,"1B","T",430,730,"Om","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",31720,"2F","P",800,900,"","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",31920,"2A","P",930,1030,"DM","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",31380,"2B","P",1100,1300,"","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",28670,"3B","T",1330,1630,"Dm","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",31730,"3C","P",1700,1930,"EM","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",30170,"4A","T",2000,2100,"","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",29910,"4B","P",2130,2230,"","2018-06-07T08:44:52Z"
1,"2018-06-08T00:00:00Z",24640,"4C","F",2400,2400,"","2018-06-07T08:44:52Z"
1,"2018-06-09T00:00:00Z",23330,"1F","F",30,30,"","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",21830,"1S","T",100,130,"","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",21520,"1A","P",200,230,"","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",20060,"04","F",400,400,"","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",19210,"1B","T",430,730,"Om","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",25830,"2F","P",800,900,"","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",26330,"2A","P",930,1030,"DM","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",26170,"2B","P",1100,1300,"","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",23480,"3B","T",1330,1630,"Dm","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",28490,"3C","P",1700,1930,"EM","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",27380,"4A","T",2000,2100,"","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",27190,"4B","P",2130,2230,"","2018-06-08T08:27:54Z"
1,"2018-06-09T00:00:00Z",23710,"4C","F",2400,2400,"","2018-06-08T08:27:54Z"
1,"2018-06-10T00:00:00Z",23020,"1F","F",30,30,"","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",21320,"1S","T",100,130,"","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",21060,"1A","P",200,230,"","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",19730,"04","F",400,400,"","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",18450,"1B","T",430,730,"Om","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",22130,"2F","P",800,900,"","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",23890,"2A","P",930,1030,"DM","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",23590,"2B","P",1100,1300,"","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",22210,"3B","T",1330,1630,"Dm","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",27770,"3C","P",1700,1930,"EM","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",27530,"4A","T",2000,2100,"","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",27500,"4B","P",2130,2230,"","2018-06-09T08:36:56Z"
1,"2018-06-10T00:00:00Z",23110,"4C","F",2400,2400,"","2018-06-09T08:36:56Z"
1,"2018-06-11T00:00:00Z",21810,"1F","F",30,30,"","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",20430,"1A","F",200,200,"","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",19620,"04","F",400,400,"","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",19130,"1B","T",430,730,"Om","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",30310,"2F","P",800,900,"DM","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",30030,"2A","P",930,1030,"","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",29070,"2B","P",1100,1300,"","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",27100,"3B","T",1330,1630,"Dm","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",32600,"3C","P",1700,2000,"EM","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",30920,"4A","T",2030,2100,"","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",30940,"4B","P",2130,2230,"","2018-06-10T08:35:39Z"
1,"2018-06-11T00:00:00Z",24190,"4C","F",2400,2400,"","2018-06-10T08:35:39Z"
1,"2018-06-12T00:00:00Z",22970,"1F","F",30,30,"","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",21700,"1A","F",200,200,"","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",20690,"04","F",400,400,"","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",20310,"1B","T",430,730,"Om","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",32150,"2F","P",800,900,"","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",32510,"2A","P",930,1030,"DM","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",32180,"2B","P",1100,1300,"","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",29940,"3B","T",1330,1630,"Dm","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",33310,"3C","P",1700,2000,"EM","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",31650,"4A","T",2030,2100,"","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",31450,"4B","P",2130,2230,"","2018-06-11T08:33:19Z"
1,"2018-06-12T00:00:00Z",24610,"4C","F",2400,2400,"","2018-06-11T08:33:19Z"
1,"2018-06-13T00:00:00Z",23200,"1F","F",30,30,"","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",22180,"1A","F",200,200,"","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",21170,"04","F",400,400,"","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",20380,"1B","T",430,730,"Om","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",31430,"2F","P",800,900,"DM","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",31130,"2A","P",930,1030,"","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",30310,"2B","P",1100,1300,"","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",28590,"3B","T",1330,1630,"Dm","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",32270,"3C","P",1700,2000,"EM","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",30660,"4A","T",2030,2100,"","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",30180,"4B","P",2130,2230,"","2018-06-12T08:32:37Z"
1,"2018-06-13T00:00:00Z",22560,"4C","F",2400,2400,"","2018-06-12T08:32:37Z"
1,"2018-06-14T00:00:00Z",21050,"1F","F",30,30,"","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",19320,"1A","F",200,200,"","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",18330,"04","F",400,400,"","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",18040,"1B","T",430,730,"Om","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",29810,"2F","P",800,900,"DM","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",29650,"2A","P",930,1030,"","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",28430,"2B","P",1100,1300,"","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",25730,"3B","T",1330,1630,"Dm","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",30210,"3C","P",1700,2000,"EM","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",29500,"4A","T",2030,2100,"","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",29380,"4B","P",2130,2230,"","2018-06-13T08:44:23Z"
1,"2018-06-14T00:00:00Z",23240,"4C","F",2400,2400,"","2018-06-13T08:44:23Z"
1,"2018-06-15T00:00:00Z",22050,"1F","F",30,30,"","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",20660,"1A","F",200,200,"","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",19610,"04","F",400,400,"","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",19190,"1B","T",430,730,"Om","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",28870,"2F","P",800,900,"DM","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",28830,"2A","P",930,1030,"","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",27910,"2B","P",1100,1300,"","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",26750,"3B","T",1330,1630,"Dm","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",30340,"3C","P",1700,2000,"EM","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",29320,"4A","T",2030,2100,"","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",29020,"4B","P",2130,2230,"","2018-06-14T08:40:11Z"
1,"2018-06-15T00:00:00Z",23540,"4C","F",2400,2400,"","2018-06-14T08:40:11Z"
1,"2018-06-16T00:00:00Z",22490,"1F","F",30,30,"","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",20840,"1A","F",200,200,"","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",19130,"04","F",400,400,"","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",18380,"1B","T",430,730,"Om","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",25900,"2F","P",800,900,"","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",27030,"2A","P",930,1030,"DM","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",26680,"2B","P",1100,1300,"","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",23530,"3B","T",1330,1630,"Dm","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",27190,"3C","P",1700,2000,"EM","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",26240,"4A","T",2030,2100,"","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",26130,"4B","P",2130,2230,"","2018-06-15T08:39:42Z"
1,"2018-06-16T00:00:00Z",22210,"4C","F",2400,2400,"","2018-06-15T08:39:42Z"
1,"2018-06-17T00:00:00Z",21330,"1F","F",30,30,"","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",20010,"1A","F",200,200,"","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",18510,"04","F",400,400,"","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",17880,"1B","T",430,730,"Om","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",22670,"2F","P",800,900,"","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",25500,"2A","P",930,1030,"","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",26310,"2B","P",1100,1300,"DM","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",25290,"3B","T",1330,1630,"Dm","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",28800,"3C","P",1700,2000,"EM","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",27720,"4A","T",2030,2100,"","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",26880,"4B","P",2130,2230,"","2018-06-16T08:36:16Z"
1,"2018-06-17T00:00:00Z",21080,"4C","F",2400,2400,"","2018-06-16T08:36:16Z"
1,"2018-06-18T00:00:00Z",19770,"1F","F",30,30,"","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",18310,"1A","F",200,200,"","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",18100,"04","F",400,400,"","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",17480,"1B","T",430,730,"Om","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",28950,"2F","P",800,900,"DM","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",28400,"2A","P",930,1030,"","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",27510,"2B","P",1100,1300,"","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",26910,"3B","T",1330,1630,"Dm","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",31270,"3C","P",1700,2000,"EM","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",29460,"4A","T",2030,2100,"","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",29360,"4B","P",2130,2230,"","2018-06-17T08:35:58Z"
1,"2018-06-18T00:00:00Z",22660,"4C","F",2400,2400,"","2018-06-17T08:35:58Z"
1,"2018-06-19T00:00:00Z",21230,"1F","F",30,30,"","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",19750,"1A","F",200,200,"","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",19260,"04","F",400,400,"","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",19000,"1B","T",430,730,"Om","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",31550,"2F","P",800,900,"","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",32030,"2A","P",930,1030,"DM","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",31810,"2B","P",1100,1300,"","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",30420,"3B","T",1330,1630,"Dm","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",33030,"3C","P",1700,2000,"EM","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",31060,"4A","T",2030,2100,"","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",30270,"4B","P",2130,2230,"","2018-06-18T08:38:52Z"
1,"2018-06-19T00:00:00Z",23380,"4C","F",2400,2400,"","2018-06-18T08:38:52Z"
1,"2018-06-20T00:00:00Z",21990,"1F","F",30,30,"","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",20480,"1A","F",200,200,"","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",19780,"04","F",400,400,"","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",19300,"1B","T",430,730,"Om","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",31270,"2F","P",800,900,"","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",31340,"2A","P",930,1030,"DM","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",30810,"2B","P",1100,1300,"","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",29040,"3B","T",1330,1630,"Dm","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",32680,"3C","P",1700,2000,"EM","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",30410,"4A","T",2030,2100,"","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",30010,"4B","P",2130,2230,"","2018-06-19T08:28:55Z"
1,"2018-06-20T00:00:00Z",23210,"4C","F",2400,2400,"","2018-06-19T08:28:55Z"
1,"2018-06-21T00:00:00Z",21870,"1F","F",30,30,"","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",20400,"1A","F",200,200,"","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",18840,"04","F",400,400,"","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",17600,"1B","T",430,730,"Om","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",27010,"2F","P",800,900,"DM","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",26620,"2A","P",930,1030,"","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",25500,"2B","P",1100,1300,"","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",24700,"3B","T",1330,1630,"Dm","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",29870,"3C","P",1700,2000,"EM","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",29320,"4A","T",2030,2100,"","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",29290,"4B","P",2130,2230,"","2018-06-20T08:35:25Z"
1,"2018-06-21T00:00:00Z",23390,"4C","F",2400,2400,"","2018-06-20T08:35:25Z"
1,"2018-06-22T00:00:00Z",22330,"1F","F",30,30,"","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",20930,"1A","F",200,200,"","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",20060,"04","F",400,400,"","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",19750,"1B","T",430,730,"Om","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",28900,"2F","P",800,900,"DM","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",28060,"2A","P",930,1030,"","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",26910,"2B","P",1100,1300,"","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",24690,"3B","T",1330,1630,"Dm","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",29610,"3C","P",1700,2000,"EM","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",28840,"4A","T",2030,2100,"","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",28380,"4B","P",2130,2230,"","2018-06-21T08:43:23Z"
1,"2018-06-22T00:00:00Z",24110,"4C","F",2400,2400,"","2018-06-21T08:43:23Z"
1,"2018-06-23T00:00:00Z",22660,"1F","F",30,30,"","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",20920,"1A","F",200,200,"","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",19510,"04","F",400,400,"","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",18470,"1B","T",430,730,"Om","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",22950,"2F","P",800,900,"","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",23100,"2A","P",930,1030,"DM","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",22970,"2B","P",1100,1300,"","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",20950,"3B","T",1330,1630,"Dm","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",26990,"3C","P",1700,2000,"EM","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",26660,"4A","T",2030,2100,"","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",26310,"4B","P",2130,2230,"","2018-06-22T08:43:10Z"
1,"2018-06-23T00:00:00Z",23350,"4C","F",2400,2400,"","2018-06-22T08:43:10Z"
1,"2018-06-24T00:00:00Z",22260,"1F","F",30,30,"","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",20310,"1A","F",200,200,"","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",19040,"04","F",400,400,"","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",17830,"1B","T",430,730,"Om","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",20890,"2F","P",800,900,"","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",22080,"2A","P",930,1030,"","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",22410,"2B","P",1100,1300,"DM","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",21170,"3B","T",1330,1630,"Dm","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",27720,"3C","P",1700,2000,"EM","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",27080,"4A","T",2030,2100,"","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",26880,"4B","P",2130,2230,"","2018-06-23T08:29:48Z"
1,"2018-06-24T00:00:00Z",23160,"4C","F",2400,2400,"","2018-06-23T08:29:48Z"
1,"2018-06-25T00:00:00Z",22050,"1F","F",30,30,"","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",20420,"1A","F",200,200,"","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",19710,"04","F",400,400,"","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",19370,"1B","T",430,730,"Om","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",29590,"2F","P",800,900,"DM","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",28800,"2A","P",930,1030,"","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",28170,"2B","P",1100,1300,"","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",26910,"3B","T",1330,1630,"Dm","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",32450,"3C","P",1700,2000,"EM","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",31050,"4A","T",2030,2100,"","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",30870,"4B","P",2130,2230,"","2018-06-24T08:20:11Z"
1,"2018-06-25T00:00:00Z",24950,"4C","F",2400,2400,"","2018-06-24T08:20:11Z"
1,"2018-06-26T00:00:00Z",23600,"1F","F",30,30,"","2018-06-25T08:39:47Z"
1,"2018-06-26T00:00:00Z",21990,"1A","F",200,200,"","2018-06-25T08:39:47Z"
1,"2018-06-26T00:00:00Z",20920,"04","F",400,400,"","2018-06-25T08:39:47Z"
1,"2018-06-26T00:00:00Z",20490,"1B","T",430,730,"Om","2018-06-25T08:39:47Z"
1,"2018-06-26T00:00:00Z",29950,"2F","P",800,900,"DM","2018-06-25T08:39:47Z"
1,"2018-06-26T00:00:00Z",29270,"2A","P",930,1030,"","2018-06-25T08:39:47Z"
1,"2018-06-26T00:00:00Z",28710,"2B","P",1100,1300,"","2018-06-25T08:39:47Z"
1,"2018-06-26T00:00:00Z",27540,"3B","T",1330,1630,"Dm","2018-06-25T08:39:47Z"
1,"2018-06-26T00:00:00Z",33170,"3C","P",1700,2000,"EM","2018-06-25T08:39:47Z"
